SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,ISIN_CODE
517514,DHINDIA     ,X ,Q,28.7,28.8,27.1,27.8,INE589D01018
517518,LEEL        ,B ,Q,280.5,283.85,267,271.4,INE245C01019
517522,RAJ GLO WIR ,X ,Q,560.15,583.55,560.15,578.95,INE451D01011
517530,SURANATP    ,T ,Q,6,6,5.75,5.94,INE130B01031
517536,ONWARD TECHN,B ,Q,100.2,109.8,99,100.75,INE229A01017
517544,CENTUM ELEC ,B ,Q,640,678,640,662.2,INE320B01020
517546,ALFA TRANSFO,X ,Q,30.85,30.85,29.05,29.3,INE209C01015
517548,STARLITE COM,X ,Q,50.25,51.8,49.25,50.9,INE035C01022
517552,ADVANCED MIC,Z ,Q,5.42,5.68,5.42,5.65,INE903C01013
517554,NHCFOODS    ,X ,Q,14.3,15.1,14.25,14.45,INE141C01028
517556,PVP VENT LTD,B ,Q,7.78,8.04,7.78,7.98,INE362A01016
517562,TRIGYN TECH ,B ,Q,158.6,164.2,152,152.9,INE948A01012
517569,KEI INDUST. ,B ,Q,380,390,376.45,387.5,INE878B01027
517571,IMPPOWERS   ,T ,Q,119.5,122,117.15,117.6,INE065B01013
518011,KEERTHI     ,XT,Q,158.5,163,152.65,157.95,INE145L01012
518029,GUJ.SIDH.CEM,T ,Q,34,34.25,33,33.65,INE542A01039
518075,SURAJ PRODUC,XT,Q,19.35,19.35,19.35,19.35,INE069E01019
518091,ANJANI PORTL,B ,Q,235,235,222.5,225.1,INE071F01012
519003,MODINATURAL ,X ,Q,134.9,134.9,129.95,129.95,INE537F01012
519031,SHAH FOOD(P),X ,Q,161.5,163.5,156.55,156.55,INE455D01012
519091,TASTY BITE  ,B ,Q,9059,9198.95,8950,8985.55,INE488B01017
519105,AVT NATURAL ,B ,Q,45.85,46.95,45.1,45.75,INE488D01021
519126,HIND.FOODS  ,X ,Q,443.95,455,427,451.8,INE254N01018
519136,NAHAR INDUST,B ,Q,102.9,103.85,99,100.6,INE289A01011
519152,VADILAL ENT ,XT,Q,939.5,939.5,857,899.7,INE693D01018
519156,VADILAL IND ,B ,Q,854.95,880,824.9,838.05,INE694D01016
519183,ADF FOODS LT,B ,Q,262.9,273.95,258.65,270.45,INE982B01019
519216,AJANTA SOYA ,X ,Q,62.1,64.25,55.05,62.85,INE601B01015
519224,WILLIAM.MAGO,T ,Q,117.1,117.1,112.6,112.6,INE210A01017
519230,RICHIRICH   ,XT,Q,1.9,1.9,1.9,1.9,INE102C01020
519248,JVL AGRO    ,B ,Q,34.85,35.45,34.2,35.15,INE430G01026
519260,SANWARIA    ,T ,Q,24,24.4,23.3,23.4,INE890C01046
519279,MADHUR IND  ,X ,Q,12.87,13.51,12.87,13.51,INE110C01015
519285,TARAI FOODS ,XT,Q,7.2,7.2,6.89,6.89,INE906C01016
519287,MODERN DAIRI,ST,Q,9.37,10.24,9.37,9.8,INE617B01011
519295,BAMBINO AGRO,XT,Q,290,290,271,272.65,INE921D01013
519307,VIKAS WSP   ,XT,Q,17.24,17.54,16.4,16.72,INE706A01022
519359,POONA DAL   ,X ,Q,68,70.6,65.25,69.5,INE809E01018
519367,TRANSGL.FOOD,XT,Q,5.96,5.96,5.96,5.96,INE213P01019
519383,ANIK INDS   ,B ,Q,42.7,42.7,41.1,41.2,INE087B01017
519421,KSE LIMITED ,XT,Q,2411,2440,2351,2406.6,INE953E01014
519455,NARBADA     ,XT,Q,20.05,20.05,20.05,20.05,INE540C01021
519457,VIRAT CRANE ,XT,Q,45.8,50,45.8,47.55,INE295C01014
519475,CHORDIA FOOD,X ,Q,171.05,187,171.05,176.6,INE975C01011
519491,OCEAN AGRO  ,XT,Q,21.65,21.65,19.85,20.45,INE049J01010
519494,N K INDUST. ,T ,Q,52.2,52.2,52.2,52.2,INE542C01019
519532,ASIAN TEA   ,X ,Q,17,17,16.2,16.5,INE822B01017
519552,HERITGFOOD  ,B ,Q,759.35,767.9,745.55,758.55,INE978A01027
519560,NEHA INTER. ,SS,Q,7.95,8.19,7.21,7.73,INE874D01022
519566,SIMRAN FARMS,XT,Q,152.8,156,151,156,INE354D01017
519570,LAKSHMI OVER,T ,Q,27,27.6,26.7,26.9,INE992B01026
519588,DFM FOODS   ,B ,Q,1598.9,1679,1575,1619.75,INE456C01012
519600,CCL PRODUCTS,B ,Q,289,297.8,288.35,294.8,INE421D01022
519602,KELLTONTEC  ,T ,Q,118,119,114.1,116,INE164B01022
519612,MAHAAN FOODS,X ,Q,19,19.3,17.6,17.6,INE734D01010
520008,RICO AUTO   ,B ,Q,86,89.5,84,87.05,INE209B01025
520021,OMAX AUTOS. ,B ,Q,189.9,197.95,183,192,INE090B01011
520043,MUNJAL SHOWA,B ,Q,275.1,278.5,271,272.65,INE577A01027
520051,JAMNA AUTO  ,B ,Q,74.6,76.1,72.45,72.9,INE039C01032
520056,SUNDAR.CLAY ,B ,Q,4949.95,4949.95,4801.35,4890,INE105A01035
520057,SONA KOYO ST,B ,Q,106.9,109.3,103.05,103.6,INE643A01035
520059,MUNAUTO     ,B ,Q,84.85,86,83,83.6,INE672B01032
520066,JAYBH.MARUTI,B ,Q,519.15,522.05,508,509.1,INE571B01028
520073,RACLGEAR    ,X ,Q,67.05,69,66,66.8,INE704B01017
520075,SAMKRG PIST.,X ,Q,322,326.4,305,313,INE706B01012
520077,AMTEK AUTO  ,T ,Q,25,26.2,24.95,25.25,INE130C01021
520086,SICAL LOG   ,B ,Q,213,223.9,213,217.6,INE075B01012
520111,RATNAMNI MET,B ,Q,1040,1071.65,1024.95,1026.7,INE703B01027
520113,VESUVIUS IND,B ,Q,1426.15,1426.15,1365.55,1411.85,INE386A01015
520119,AUTOMOTIVE S,B ,Q,91.6,93.4,89.4,91.35,INE900C01027
520123,ABC INDIA   ,X ,Q,102.5,104.9,98.7,99.05,INE125D01011
520127,BALURGHAT TE,XT,Q,5.65,5.88,5.34,5.88,INE654B01014
520139,JAGSON AIRLI,XT,Q,2.96,2.96,2.96,2.96,INE685B01018
520141,SIBAR AUTO  ,XT,Q,20.54,20.54,20.54,20.54,INE441C01014
520151,SHREY SH LOG,B ,Q,571.6,591.45,571.6,581.7,INE757B01015
520155,STARLOG     ,X ,Q,66.8,70.95,65,65.2,INE580C01019
521005,INDOVATION  ,XT,Q,10.6,10.64,9.64,10.28,INE807M01023
521014,EUROTEX IND ,B ,Q,31.4,39.4,31.4,37.25,INE022C01012
521016,INDO COUNT  ,A ,Q,109.75,109.75,102.2,103.8,INE483B01026
521018,MARAL OVERS ,B ,Q,41.2,42.2,40.1,40.45,INE882A01013
521030,NAKODA      ,T ,Q,0.46,0.48,0.45,0.48,INE559B01023
521034,SOMA TEXTILE,T ,Q,14,14.55,13.7,14.3,INE314C01013
521038,TAM.JAI.MILL,XT,Q,6,6,5.75,5.75,INE868H01017
521054,KAKATIYA TEX,XT,Q,2.63,2.63,2.63,2.63,INE092E01011
521062,OCTAVE      ,X ,Q,1.83,1.83,1.83,1.83,INE814L01013
521064,TRIDENT     ,A ,Q,78,80,78,78.95,INE064C01014
521070,ALOK INDS.  ,T ,Q,3.7,3.7,3.43,3.55,INE270A01011
521082,SPENTEX INDS,T ,Q,6.09,6.2,6.09,6.15,INE376C01020
521097,AMARJOTHI SP,X ,Q,153.5,188,153.5,168.75,INE484D01012
521105,OLYMPIA IND.,XT,Q,193.5,208.7,192.9,208.7,INE482O01021
521109,NAGREEKA EXP,T ,Q,38,38,37.75,37.75,INE123B01028
521113,SUDITI IND. ,XT,Q,80,85.7,78.3,84.95,INE691D01012
521127,KHATOR FIBRE,XT,Q,20.2,20.2,20.2,20.2,INE964G01016
521131,SBFL        ,X ,Q,8.3,8.31,8.05,8.31,INE363D01018
521141,ADITYA SPIN.,XT,Q,9.25,9.25,8.8,8.8,INE122D01026
521149,PRIME URBAN ,X ,Q,20.85,21.75,20.85,21.65,INE419E01024
521161,SRI LAK.SAR.,X ,Q,26.8,26.8,26.8,26.8,INE456D01010
521163,ZODIAC CLOTH,B ,Q,219.95,220,207.65,208.7,INE206B01013
521167,FRONT BUSS  ,XT,Q,8.65,8.65,8.65,8.65,INE485D01035
521180,SUPER SPIN. ,T ,Q,17.5,17.8,16.9,17.2,INE662A01027
521194,SIL INVEST  ,T ,Q,479.95,480,460,473.5,INE923A01015
521200,SURYLAK.COTT,B ,Q,91.6,92.95,88.9,90.25,INE713B01026
521206,SAMTEX FASH.,X ,Q,4.92,5.34,4.92,5.04,INE931D01020
521216,DHAN ROTO SP,XT,Q,41.25,43.75,39.65,40.5,INE220C01012
521220,DAMOINDUS   ,B ,Q,128.15,128.15,122.75,124.4,INE497D01014
521234,SRI NACHAMAI,X ,Q,20.2,20.2,20.1,20.1,INE443E01016
521240,SAMBANDAM SP,X ,Q,145,154.75,145,150,INE304D01012
521242,KANDAGIRI SP,X ,Q,39.5,39.75,39.5,39.6,INE292D01019
521248,KITEX GARMEN,B ,Q,291.05,293.7,285.45,288.85,INE602G01020
522001,CRANEX LTD. ,X ,Q,23.5,23.55,23.5,23.55,INE608B01010
522004,BATLIBOI LTD,XT,Q,35.3,37.85,35.15,35.35,INE177C01022
522005,AUSTIN ENGG.,X ,Q,122,124.5,116.15,120.7,INE759F01012
522014,UNITED DRILL,Z ,Q,307,308.9,280,308.2,INE961D01019
522015,VCCL LTD    ,P ,Q,4.17,4.17,4.17,4.17,INE460E01010
522017,FLUIDOMAT   ,X ,Q,207.5,207.5,192,198.65,INE459C01016
522029,WINDSOR MACH,B ,Q,123.9,125.1,112.5,120.15,INE052A01021
522034,SHANTHI GEAR,B ,Q,149.75,149.75,146.15,148.1,INE631A01022
522064,HONDA SIEL  ,B ,Q,1422.05,1457.4,1393.15,1415.55,INE634A01018
522073,HITECHGEAR  ,B ,Q,483,492.95,474,476.8,INE127B01011
522074,ELGI EQUIP  ,B ,Q,320,320,305.1,309.05,INE285A01027
522085,STONE INDIA ,Z ,Q,46.95,46.95,44.95,45.15,INE290C01015
522101,KILBURN ENGG,X ,Q,90.6,93,88.1,91.55,INE338F01015
522105,BIRLA PRETEC,XT,Q,7.04,7.38,6.97,7.38,INE372E01025
522108,YUKEN INDIA ,X ,Q,4875,4895,4770,4822.95,INE384C01016
522113,TIMKEN (I)  ,B ,Q,893,906.55,881.15,891.15,INE325A01013
522122,VOITH PAPER ,XT,Q,865,886.9,855,855,INE285C01015
522134,ARTSON ENG  ,X ,Q,96.05,98.9,94,94.9,INE133D01023
522152,SOLITAIR MC ,X ,Q,55,59.9,55,57.05,INE410A01013
522163,DIAMONPOWER ,B ,Q,18.85,19,18,18.35,INE989C01012
522165,INDSIL HYD  ,XT,Q,170,174.95,168,168.9,INE867D01018
522183,ITL INDUSTRS,X ,Q,306.9,319.2,298.05,306.05,INE478D01014
522195,FRONTIER SPR,X ,Q,215,219.95,212,214.65,INE572D01014
522205,PRAJ IND.LTD,A ,Q,106.4,107.95,104.5,106.8,INE074A01025
522207,RASANDIK ENG,XT,Q,214.7,214.7,204,204,INE682D01011
522209,YOGI SUNGWON,XT,Q,2.3,2.4,2.3,2.3,INE429B01011
522215,SWISS GLASS ,X ,Q,207.9,208,198,202.5,INE461D01010
522217,GUJ APOIND  ,B ,Q,224.85,229,221.5,221.65,INE826C01016
522229,TANEJA AERO.,X ,Q,60.5,60.5,58,58.7,INE692C01020
522231,CONART ENG. ,X ,Q,51.25,52.8,49.5,49.65,INE714D01012
522237,SHIVAGRICO  ,XT,Q,6.53,6.53,5.91,5.91,INE092H01014
522241,M.M.FORGINGS,B ,Q,1090.05,1099.45,1090,1090.5,INE227C01017
522249,MAYUR UNIQ. ,B ,Q,502,503,492.1,493.55,INE040D01038
522251,CENLUB INDUS,X ,Q,62.1,64,60.2,60.85,INE627F01011
522257,RAJOO ENGIN.,XT,Q,50,51.5,48.6,50.55,INE535F01024
522261,DOLPHIN OFF.,B ,Q,117.8,121.4,116.8,117.4,INE920A01011
522263,JMC PROJECTS,B ,Q,550.7,569.5,538.95,551.75,INE890A01016
522267,VEEJAY LAKSH,XT,Q,60,60,57.35,59.9,INE466D01019
522275,GET&D       ,A ,Q,411.35,434.5,400.05,430.2,INE200A01026
522281,RAM RAT.WIRE,X ,Q,215,215,205,206.9,INE207E01023
522285,JAY NECO IND,T ,Q,9.55,10.51,9.51,10.42,INE854B01010
522287,KALPA.POWER ,B ,Q,465.4,465.4,435.95,442.35,INE220B01022
522292,CHANDNI TE  ,XT,Q,34,36.85,34,36.85,INE713D01055
522294,T & I GLOBAL,X ,Q,84,87.8,82,83.35,INE811B01010
522295,CONTROL PRNT,B ,Q,464.7,471.65,450.6,452.4,INE663B01015
522650,BEMCO HYDRAU,X ,Q,155.55,162,155.55,162,INE142E01014
523007,ANSAL BUILD.,SS,Q,79,85.95,79,85.2,INE030C01015
523011,WEIZMANN LTD,B ,Q,49,50,48.25,49.55,INE080A01014
523019,B.N.RATHI SE,X ,Q,42,43.25,42,42.6,INE710D01010
523021,RISHITECH   ,X ,Q,76.3,77.15,74.25,75,INE989D01010
523023,SINCLAIR HOT,X ,Q,444,454.5,425.55,430.1,INE985A01014
523025,SAFARI IND. ,X ,Q,510.1,523,510.05,511,INE429E01023
523062,JJ FINANCE  ,XT,Q,53,53,53,53,INE584C01011
523100,COSMO FERR. ,XT,Q,27.35,28.55,27,27.2,INE124B01018
523116,SANCO TRANS ,X ,Q,278.55,278.55,260,260,INE391G01012
523120,ADOR MULTI. ,X ,Q,19.6,19.6,19.6,19.6,INE628D01014
523127,EIH ASSO.HOT,B ,Q,497.2,509,485,489.95,INE276C01014
523144,MEDI CAPS   ,X ,Q,30.7,30.7,28.2,28.5,INE442D01010
523151,OTCO INTERN.,XT,Q,47,49.6,45,45,INE910B01010
523160,MORGAN CRU  ,XT,Q,975.1,1010,950,963.1,INE599F01012
523204,ABAN OFFSHO ,A ,Q,210.5,215.7,208.4,210.9,INE421A01028
523207,KOKUYOCMLN  ,B ,Q,136,140.85,133.15,134.7,INE760A01029
523229,BHARAT SEATS,X ,Q,213,218,200.55,212.25,INE415D01024
523232,CONT.PETRO  ,XT,Q,33.65,33.65,31.5,33.5,INE369D01015
523248,MACHINO PLAS,X ,Q,245.6,248.4,230.25,239,INE082B01018
523260,PEARL POLYME,T ,Q,35.95,36.65,35,36.2,INE844A01013
523261,VENKEY'S (I),B ,Q,2718.65,2780.95,2695,2713.25,INE398A01010
523269,ADVANI HOTEL,B ,Q,75,75,71.5,71.65,INE199C01026
523277,G.V.FILMS   ,X ,Q,0.8,0.84,0.74,0.78,INE395B01048
523283,SUPER HOUSE ,B ,Q,165.3,168.75,160,161.2,INE712B01010
523289,RAMA VISION ,XT,Q,18.88,18.88,18.88,18.88,INE763B01013
523301,TCPL PACK   ,B ,Q,653.05,659.95,639,642.45,INE822C01015
523319,BALMER LAWRI,B ,Q,245,246,239.3,240.05,INE164A01016
523323,KOVAI MEDI. ,XT,Q,1270,1298.75,1250.1,1272.8,INE177F01017
523329,ELDECO HOUS.,XT,Q,2373,2455,2373,2379.95,INE668G01013
523367,DCMSHRIRAM  ,B ,Q,584.2,598,568.05,572.05,INE499A01024
523369,DCM SHR.IND ,X ,Q,264.2,268,259.5,260.2,INE843D01019
523371,MAWANA SUGAR,B ,Q,66.25,71.45,66.25,67.45,INE636A01039
523373,MINI DIAMOND,XT,Q,10.2,10.38,10.2,10.38,INE281E01010
523384,MAH.RAS.APEX,T ,Q,156.9,159.7,146,159.7,INE843B01013
523385,NILKAMAL L  ,A ,Q,1830,1851.9,1791,1815.6,INE310A01015
523387,TRITON CORP.,XT,Q,0.29,0.29,0.29,0.29,INE982C01033
523391,NAHAR POLY  ,B ,Q,77,77.4,73.05,74.3,INE308A01027
523395,3M INDIA LTD,B ,Q,18755.7,18859.15,18659,18724.55,INE470A01017
523398,JCHAC       ,B ,Q,2505,2529.95,2436.05,2502.8,INE782A01015
523405,JM FINANCIAL,A ,Q,161.55,168,160.6,162.9,INE780C01023
523411,ADCINDIA    ,X ,Q,230,243,229.7,230.65,INE833A01016
523419,TAMIL.TELE. ,T ,Q,2.13,2.13,2.13,2.13,INE141D01018
523425,SUNRAJ DIAM.,XT,Q,3.87,3.87,3.87,3.87,INE459D01014
523445,REL INDL INF,B ,Q,533.7,570,528,541,INE046A01015
523457,LINDEINDIA  ,A ,Q,531.6,544.45,515.3,533.85,INE473A01011
523465,IND.BANK HSG,X ,Q,47.45,49.8,47.45,49.8,INE969D01012
523475,LOTUS CHOC  ,X ,Q,53.25,53.9,52,52.1,INE026D01011
523483,PACIFIC IND.,X ,Q,141,152.8,140.05,146.95,INE883C01025
523489,CMM HOSPITAL,X ,Q,26.29,26.78,25.01,26.78,INE889F01017
523519,UNI OFF AUTO,XT,Q,2.7,2.7,2.7,2.7,INE951C01012
523523,RAINBOW PAP.,T ,Q,3.45,3.51,3.31,3.44,INE028D01025
523537,APM INDUS.  ,X ,Q,62.15,64,62.15,63.75,INE170D01025
523539,PRECISION WR,B ,Q,260.05,264,253.1,256.7,INE372C01029
523558,NETWORK LTD.,XT,Q,4.55,4.55,4.55,4.55,INE010C01025
523566,MARTIN BURN ,X ,Q,42.7,44.7,42.7,42.7,INE199D01016
523574,FEL         ,B ,Q,42.5,43.2,42.25,42.75,INE623B01027
523586,IND.TONERS  ,X ,Q,297,304.4,293,295.8,INE826B01018
523592,JENSON &NICH,T ,Q,5.98,5.98,5.69,5.95,INE819B01021
523594,KUNSTSTOFFE ,XT,Q,29.8,30.2,29,30.2,INE638D01021
523598,SHIPP.CORPN ,A ,Q,80.2,82.2,79.1,80.95,INE109A01011
523606,SIKA INTER. ,XT,Q,221.5,222.5,214,214.15,INE438E01016
523610,ITI LTD.    ,B ,Q,115.3,122,113.5,118.55,INE248A01017
523618,DREDGING COR,B ,Q,688,789.95,686.35,764.3,INE506A01018
523620,PHARMASIA   ,XT,Q,34.35,34.35,34.35,34.35,INE486I01016
523628,PODDAR      ,B ,Q,1188.9,1188.9,1136,1187.75,INE888B01018
523630,NATIONAL FER,B ,Q,69,73.65,69,72.9,INE870D01012
523638,IP RINGS LTD,XT,Q,198,206.1,195.55,199.75,INE558A01019
523642,PI INDUS.LTD,A ,Q,906.95,911.95,875.85,891.15,INE603J01030
523648,PLASTIBLEND ,B ,Q,251.7,251.7,206.1,210.4,INE083C01022
523660,WATERBASE   ,X ,Q,280.3,287.5,273.65,273.65,INE054C01015
523672,FLEX FOODS  ,X ,Q,135,135,130,130.8,INE954B01018
523676,GOLKUNDA DIA,XT,Q,18.05,18.05,18.05,18.05,INE798D01015
523694,APCOTEX IND ,B ,Q,475.5,481.7,473.3,475,INE116A01024
523696,FORTIS MLR  ,X ,Q,61.95,62.7,58.4,59.2,INE842B01015
523704,MASTEK LTD  ,B ,Q,472,492.45,464.2,477.75,INE759A01021
523708,EIMCO ELECON,B ,Q,491,510.9,488.1,499.75,INE158B01016
523710,SAYAJI HOTEL,XT,Q,271,280,271,279.5,INE318C01014
523716,ASHIANA HOU ,B ,Q,190,204,188.1,200,INE365D01021
523724,VIJAY SHA.BU,B ,Q,26,26.45,25.8,25.95,INE806F01011
523732,ECO BOARD IN,XT,Q,5.27,5.28,5.27,5.27,INE866A01016
523736,DPL         ,B ,Q,155,157,148.6,150.1,INE477B01010
523754,EPC INDUS.  ,X ,Q,187.55,195.8,187.55,189.95,INE215D01010
523756,SREIINFRA   ,A ,Q,96.5,97.1,94.6,95.65,INE872A01014
523768,GUJ.BOROSIL ,XT,Q,123.9,126.8,118.75,121.25,INE059C01022
523790,SHUKRA JEW  ,P ,Q,10.05,10.05,10.05,10.05,INE344E01016
523792,MAZDA LTD   ,B ,Q,447.5,458,426.5,434.35,INE885E01034
523796,VICEROY HOTE,B ,Q,17.65,18,17.35,17.5,INE048C01017
523820,NEOCORP INTE,Z ,Q,3.29,3.38,3.29,3.29,INE851C01014
