Scheme Code,ISIN Div Payout/ ISIN Growth,Scheme Name,Net Asset Value
139970,INF397L01JD3,IDBI Prudence Fund Dividend Regular,11.5373
139971,INF397L01JC5,IDBI Prudence Fund Growth Direct,12.4359
139969,INF397L01JG6,IDBI Prudence Fund Growth Regular,12.1631
140383,INF194KA1U64,IDFC Balanced Fund-Direct Plan-Dividend,11.1311
140382,INF194KA1U56,IDFC Balanced Fund-Direct Plan-Growth,12.0475
140384,INF194KA1U23,IDFC Balanced Fund-Regular Plan-Dividend,10.8781
140381,INF194KA1U15,IDFC Balanced Fund-Regular Plan-Growth,11.783
130904,INF192K01HB8,JM Balanced Fund (Direct) - Annual Bonus Option,48.9533
131477,INF192K01HJ1,JM Balanced Fund (Direct) - Annual Dividend Option,34.9038
133401,INF192K01GP0,JM Balanced Fund (Direct) - Bonus Option - Principal Units,50.013
120483,INF192K01BO4,JM Balanced Fund (Direct) - Dividend Option,34.3482
120484,INF192K01BQ9,JM Balanced Fund (Direct) - Growth Option,48.6848
133409,INF192K01HV6,JM Balanced Fund (Direct) - Half Yearly Bonus Option - Principal Units,50.013
133402,INF192K01HH5,JM Balanced Fund (Direct) - Half Yearly Dividend Option,35.2663
133412,INF192K01HN3,JM Balanced Fund (Direct) - Monthly Dividend Option,35.2633
133411,INF192K01HZ7,JM Balanced Fund (Direct) - Quarterly Bonus Option - Principal Units,50.013
133406,INF192K01HR4,JM Balanced Fund (Direct) - Quarterly Dividend Option,15.6334
133407,INF192K01GZ9,JM Balanced Fund - Annual Bonus Option,47.6743
131476,INF192K01HF9,JM Balanced Fund - Annual Dividend Option,33.9866
133400,INF192K01GN5,JM Balanced Fund - Bonus Option - Principal Units,47.6743
133403,INF192K01HT0,JM Balanced Fund - Half Yearly Bonus Option - Principal Units,47.6743
133408,INF192K01HD4,JM Balanced Fund - Half Yearly Dividend Option,33.9837
133404,INF192K01HL7,JM Balanced Fund - Monthly Dividend Option,33.7139
133410,INF192K01HX2,JM Balanced Fund - Quarterly Bonus Option - Principal Units,47.6743
133405,INF192K01HP8,JM Balanced Fund - Quarterly Dividend Option,12.0989
100220,INF192K01528,JM Balanced Fund-Dividend,12.9834
100221,INF192K01544,JM Balanced Fund-Growth,46.4191
100286,INF174K01443,Kotak Balance,17.269
133035,INF174K01F00,Kotak Balance - Direct Growth,26.63
119767,INF174K01LL7,Kotak Balance - Dividend - Direct,18.717
133036,INF174K01E92,Kotak Balance - Growth,25.03
120260,INF767K01EC2,LIC MF Balanced Fund-Direct Plan-Dividend,16.0967
120261,INF767K01ED0,LIC MF Balanced Fund-Direct Plan-Growth,105.7476
100321,INF767K01022,LIC MF Balanced Fund-Regular Plan-Dividend,15.4213
100323,INF767K01030,LIC MF Balanced Fund-Regular Plan-Growth,101.4787
119484,INF173K01FE6,Principal Balanced Fund- Direct Plan - Growth Option,81.11
101266,INF173K01CI4,Principal Balanced Fund- Monthly Dividend,29.49
119485,INF173K01FB2,Principal Balanced Fund-Direct Plan - Monthly Dividend Option,33.42
101265,INF173K01CL8,Principal Balanced Fund-Growth,77.29
118794,INF204K01B08,Reliance Regular Savings Fund - Balanced Option  - Direct Plan Growth Plan,59.9909
122766,INF204K011R2,Reliance Regular Savings Fund - Balanced Option - Direct Plan - Quarterly Dividend Plan,16.6562
118793,INF204K01B16,Reliance Regular Savings Fund - Balanced Option - Direct Plan Dividend Plan,23.5472
112937,INF204K01FX9,Reliance Regular Savings Fund - Balanced Option - Dividend Plan,18.788
112936,INF204K01FW1,Reliance Regular Savings Fund - Balanced Option - Growth Plan,56.7096
122765,INF204K013R8,Reliance Regular Savings Fund - Balanced Option - Quarterly Dividend Plan,16.303
139679,INF204KB1BE5,Reliance Regular Savings Fund- Balanced Option- Direct Plan-Monthly Dividend Plan,12.1156
139680,INF204KB1BG0,Reliance Regular Savings Fund- Balanced Option- Monthly Dividend Plan,11.8237
119604,INF200K01RW4,SBI Magnum Balanced Fund - DIRECT PLAN - Dividend,43.5357
101551,INF200K01115,SBI Magnum Balanced Fund - REGULAR PLAN - Dividend,30.0975
119609,INF200K01RY0,SBI Magnum Balanced Fund - DIRECT PLAN - Growth,135.2149
102885,INF200K01107,SBI Magnum Balanced Fund - REGULAR PLAN -Growth,129.0703
100617,INF903J01744,Sundaram Balanced Fund - Appreciation Option,85.5617
119542,INF903J01MP0,Sundaram Balanced Fund - Direct Plan - Growth Option,88.2812
119545,INF903J01MN5,Sundaram Balanced Fund - Direct Plan - Dividend Option,16.4668
101472,INF903J01728,Sundaram Balanced Fund - Dividend Option,15.8472
111924,INF903J01751,Sundaram Balanced Fund - Institutional Dividend Option,14.2258
119053,INF277K01MN2,Tata Balanced Fund -Direct Plan- Growth,221.7353
119057,INF277K01MO0,Tata Balanced Fund -Direct Plan- Monthly Dividend option,73.4022
119058,INF277K01ML6,Tata Balanced Fund -Direct Plan-Dividend Option,87.1317
101222,INF277K01DB6,Tata Balanced Fund Regular Plan - Dividend Option,83.4831
100414,INF277K01303,Tata Balanced Fund Regular Plan - Growth,213.8545
113134,INF277K01CS2,Tata Balanced Fund Regular Plan- Monthly Dividend Option,70.2588
101491,INF277K01AJ5,Tata Young Citizen [After 7 years] Regular Plan,26.9553
101490,-,Tata Young Citizen Fund [>3 years upto 7 years] Regular Plan,26.9553
101489,-,Tata Young Citizen Fund [Upto 3 years] Regular Plan,26.9553
119299,-,Tata Young Citizens' Fund [> 3 years upto 7 years]-Direct Plan Growth,28.4236
119296,-,Tata Young Citizens' Fund [Upto 3 years]-Direct Plan Growth,28.4236
119312,INF277K01QW4,Tata Young Citizens' Fund-(After 7 years)-Direct Plan  Growth,28.4236
119328,INF582M01948,Union Asset Allocation Fund - Moderate Plan - Direct Plan - Dividend Option,12.5913
119327,INF582M01922,Union Asset Allocation Fund - Moderate Plan - Direct Plan - Growth Option,15.7837
117394,INF582M01484,Union Asset Allocation Fund - Moderate Plan - Dividend Option,12.102
117393,INF582M01468,Union Asset Allocation Fund - Moderate Plan - Growth Option,15.2849
100684,INF789F01323,UTI - Balanced Fund-Growth,175.6896
120674,INF789F01SK9,UTI - Balanced Fund-Growth - Direct,179.745
100685,INF789F01307,UTI - Balanced Fund-Income,32.0061
120673,INF789F01SI3,UTI - Balanced Fund-Income - Direct,32.9049
101662,-,UTI - Variable Investment Scheme-Growth Option,17.3822
101661,-,UTI - Variable Investment Scheme-Income Option,13.0672
119660,INF209K01Q14,Aditya Birla Sun Life Tax Plan - Direct Plan - Dividend Option,138.66
119661,INF209K01VV9,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,42.12
100067,INF209K01330,Aditya Birla Sun Life Tax Plan - Regular Plan - Dividend Option,96.38
104331,INF209K01348,Aditya Birla Sun Life Tax Plan - Regular Plan - Growth Option,40.03
119543,INF209K01P23,Aditya Birla Sun Life Tax Relief '96 - Dividend - Direct Plan,230.42
103164,INF209K01090,Aditya Birla Sun Life Tax Relief '96 - Dividend Option,162.74
119544,INF209K01UN8,Aditya Birla Sun Life Tax Relief '96 - Growth - Direct Plan,33.41
